video_id,title,published_date,year,month,title_length
KGVpKPNUdzA,Khabib vs Lex: Training with Khabib | FULL EXCLUSIVE FOOTAGE,2026-02-25,2026,2,60
YFjfBk8HI5o,OpenClaw: The Viral AI Agent that Broke the Internet - Peter Steinberger | Lex Fridman Podcast #491,2026-02-12,2026,2,99
EV7WhVT270Q,"State of AI in 2026: LLMs, Coding, Scaling Laws, China, Agents, GPUs, AGI | Lex Fridman Podcast #490",2026-01-31,2026,1,100
Z-FRe5AKmCU,Paul Rosolie: Uncontacted Tribes in the Amazon Jungle | Lex Fridman Podcast #489,2026-01-13,2026,1,80
14OPT6CcsH4,"Infinity, Paradoxes, Gödel Incompleteness &amp; the Mathematical Multiverse | Lex Fridman Podcast #488",2025-12-31,2025,12,102
_bBRVNkAfkQ,"Deciphering Secrets of Ancient Civilizations, Noah&#39;s Ark, and Flood Myths | Lex Fridman Podcast #487",2025-12-12,2025,12,104
Qp0rCU49lMs,Michael Levin: Hidden Reality of Alien Intelligence &amp; Biological Life | Lex Fridman Podcast #486,2025-11-30,2025,11,100
m_CFCyc2Shs,"David Kirtley: Nuclear Fusion, Plasma Physics, and the Future of Energy | Lex Fridman Podcast #485",2025-11-17,2025,11,98
7OLVwZeMCfY,"Julia Shaw: Criminal Psychology of Murder, Serial Killers, Memory &amp; Sex | Lex Fridman Podcast #483",2025-10-14,2025,10,102
qjPH9njnaVU,"Pavel Durov: Telegram, Freedom, Censorship, Money, Power &amp; Human Nature | Lex Fridman Podcast #482",2025-09-30,2025,9,102
-Qm1_On71Oo,"Dave Hone: T-Rex, Dinosaurs, Extinction, Evolution, and Jurassic Park | Lex Fridman Podcast #480",2025-09-04,2025,9,96
HsLgZzgpz9Y,"Dave Plummer: Programming, Autism, and Old-School Microsoft Stories | Lex Fridman Podcast #479",2025-08-29,2025,8,94
y3yAVZk3tyA,"Keyu Jin: China&#39;s Economy, Tariffs, Trade, Trump, Communism &amp; Capitalism | Lex Fridman Podcast #477",2025-08-13,2025,8,107
mO3ay4F3S60,Timeline for AGI: 2030 with 50% chance,2025-08-08,2025,8,38
U1H1Ob7jk8Q,Jack Weatherford: Genghis Khan and the Mongol Empire | Lex Fridman Podcast #476,2025-07-31,2025,7,79
-HzgcbRXUK8,"Demis Hassabis: Future of AI, Simulating Reality, Physics and Video Games | Lex Fridman Podcast #475",2025-07-23,2025,7,100
UbOjufRmpq4,Advice for beginner programmers,2025-07-18,2025,7,31
vagyIcmIGOQ,"DHH: Future of Programming, AI, Ruby on Rails, Productivity &amp; Parenting | Lex Fridman Podcast #474",2025-07-12,2025,7,102
HUkBz-cdB-k,"Terence Tao: Hardest Problems in Mathematics, Physics &amp; the Future of AI | Lex Fridman Podcast #472",2025-06-14,2025,6,103
b268x2kzefY,Lex Fridman tests Google XR glasses,2025-06-13,2025,6,35
9V6tWC4CdFQ,Sundar Pichai: CEO of Google and Alphabet | Lex Fridman Podcast #471,2025-06-05,2025,6,68
cp1lprZUQcE,"James Holland: World War II, Hitler, Churchill, Stalin &amp; Biggest Battles | Lex Fridman Podcast #470",2025-05-24,2025,5,103
4OyB3hFb2AA,"Oliver Anthony: Country Music, Blue-Collar America, Fame, Money, and Pain | Lex Fridman Podcast #469",2025-05-19,2025,5,100
